Id,AvailableToUser,BusinessId,BusinessName,ClearFileDataFile,ClearSignedFileDataFile,CoworkerBillingName,CoworkerCompanyName,CoworkerContractGuid,CoworkerCoworkerType,CoworkerFullName,CoworkerId,CreatedOn,CustomFields,DataFileIndex,Description,DocumentTemplateGuid,FileDataFileName,IsNew,LocalizationDetails,Name,NewFileDataUrl,NewSignedFileDataUrl,NotifyWhenSignedEmail,ProposalGuid,RequestDigitalSignature,Signed,SignedFileDataFileName,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
1416246248,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Ryan Nelson,1423749951,2026-08-24T17:32:05.5145227Z,,1,,,,False,,Membership Agreement - PROP-008,,,,870ed0a5-bafa-45af-93ea-2a513806157c,False,False,,,Membership Agreement - PROP-008,7cc1761b-6be3-45ed-bb4e-7833bad97cd5,Olena+e2@nexudus.com,2026-08-24T17:32:05.5145227Z
1416246155,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Tracy Harrison,1423749937,2026-08-24T17:32:06.234505Z,,2,,,,False,,Membership Agreement - PROP-009,,,,bcc97875-917e-4d47-a9e2-90a6e6b53c01,False,False,,,Membership Agreement - PROP-009,7441cd24-8eed-4c44-87cb-db0baaa204a8,Olena+e2@nexudus.com,2026-08-24T17:32:06.234505Z
1416246156,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Sian Cox,1423747908,2026-08-24T17:32:07.1251378Z,,3,,,,False,,Membership Agreement - PROP-010,,,,f849c8f2-f053-4d43-9998-c1cd9389c44c,False,False,,,Membership Agreement - PROP-010,4032985d-59d9-47bd-8adf-33f0d745d2e0,Olena+e2@nexudus.com,2026-08-24T17:32:07.1251378Z
1416246249,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Victor Harrison,1423747911,2026-08-24T17:32:07.890832Z,,4,,,,False,,Membership Agreement - PROP-011,,,,d4cfdb30-252b-4ce8-8085-6f7b9029914f,False,False,,,Membership Agreement - PROP-011,b3253183-563d-4a30-8a7a-19f4cdf3b216,Olena+e2@nexudus.com,2026-08-24T17:32:07.890832Z
1416246250,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Jonathan Middleton,1423750046,2026-08-24T17:32:08.6264359Z,,5,,,,False,,Membership Agreement - PROP-012,,,,ef883fbd-79ef-48f0-81e4-2be4dd69235c,False,False,,,Membership Agreement - PROP-012,ea64ef1d-3ce8-492b-874a-0246a5b01e68,Olena+e2@nexudus.com,2026-08-24T17:32:08.6264359Z
1416246251,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Jeremy Mellor,1423749942,2026-08-24T17:33:06.2774837Z,,6,,,,False,,Membership Agreement - PROP-001,,,,ccb36a59-a633-4431-8b4f-d8dfb665a639,False,False,,,Membership Agreement - PROP-001,50d74a5f-1cda-4d30-b0c3-7fabfe5c7568,Olena+e2@nexudus.com,2026-08-24T17:33:06.2774837Z
1416246252,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Robin Andrews,1423747913,2026-08-24T17:33:07.0438529Z,,7,,,,False,,Membership Agreement - PROP-002,,,,a68ba7fe-65c2-4787-a6f5-75ff426098dd,False,False,,,Membership Agreement - PROP-002,cd3c08cd-6c06-429b-8ce8-6c4d7a1d9bdd,Olena+e2@nexudus.com,2026-08-24T17:33:07.0438529Z
1416246157,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Gerald Richardson,1423749949,2026-08-24T17:33:07.8953962Z,,8,,,,False,,Membership Agreement - PROP-003,,,,8515ee9c-4b31-4156-b8f4-505c483d80b4,False,False,,,Membership Agreement - PROP-003,fc7fb903-940e-4296-9392-b3f670187e35,Olena+e2@nexudus.com,2026-08-24T17:33:07.8953962Z
1416246158,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Bethany Johnston,1423750050,2026-08-24T17:33:08.6767527Z,,9,,,,False,,Membership Agreement - PROP-004,,,,61760cb5-af9f-426f-9928-d67168a9002d,False,False,,,Membership Agreement - PROP-004,65e060d7-0033-4cb8-9fb0-59ae849872ba,Olena+e2@nexudus.com,2026-08-24T17:33:08.6767527Z
1416246159,False,1421022733,MAIN_E2 (PARENT Location),False,False,,,,Individual,Jonathan Middleton,1423750046,2026-08-24T17:33:09.7399071Z,,10,,,,False,,Membership Agreement - PROP-005,,,,a7f822ad-954b-45e3-a899-875521f40a7f,False,False,,,Membership Agreement - PROP-005,733e5f53-b3f5-4a96-b115-ca06e6dbe502,Olena+e2@nexudus.com,2026-08-24T17:33:09.7399071Z
