Id,BusinessId,BusinessName,Completed,CoworkerCompanyName,CoworkerFullName,CoworkerId,CoworkerTeamNames,CreatedOn,CustomFields,DisplayToEveryone,DueDate,FormPageRequestUniqueId,IsNew,LocalizationDetails,Name,Notes,NotifyByEmail,ResponsibleFullName,ResponsibleId,SystemId,TaskIndex,TaskListName,ToStringText,UniqueId,UpdatedBy,UpdatedOn
1416657266,1421022733,MAIN_E2 (PARENT Location),True,,Paula Harvey,1423750037,Echo Digital,2026-08-24T16:50:48.8278478Z,,False,2026-04-14T00:00:00Z,,False,,Submit feedback survey,,False,Lorand Norbert,1418369047,,1,,Submit feedback survey,44cd2183-1500-4ef1-b67f-5950223e5691,Olena+e2@nexudus.com,2026-08-24T16:50:48.8278478Z
1416657267,1421022733,MAIN_E2 (PARENT Location),True,,Victor Harrison,1423747911,Acme Corp,2026-08-24T16:50:49.6090973Z,,False,2026-07-04T00:00:00Z,,False,,Update emergency contact,,False,Lorand Norbert,1418369047,,2,,Update emergency contact,c1d11186-4f85-4abc-9b2b-8eea06313a14,Olena+e2@nexudus.com,2026-08-24T16:50:49.6090973Z
1416657268,1421022733,MAIN_E2 (PARENT Location),True,,Megan Taylor,1423750043,CloudNine Labs,2026-08-24T16:50:50.4847777Z,,False,2026-05-05T00:00:00Z,,False,,Collect delivery,,False,Lorand Norbert,1418369047,,3,,Collect delivery,0a73d0e2-b72f-448d-89a2-8edbd6dea391,Olena+e2@nexudus.com,2026-08-24T16:50:50.4847777Z
1416657348,1421022733,MAIN_E2 (PARENT Location),True,,Irene Wilson,1423750041,Bright Studio,2026-08-24T16:50:51.2622063Z,,False,2026-06-07T00:00:00Z,,False,,Collect delivery,,False,Lorand Norbert,1418369047,,4,,Collect delivery,6bad2a28-1ef6-4668-b926-a60beb3b504e,Olena+e2@nexudus.com,2026-08-24T16:50:51.2622063Z
1416657349,1421022733,MAIN_E2 (PARENT Location),True,,Mary Higgins,1423747909,CloudNine Labs,2026-08-24T16:50:52.1216073Z,,False,2026-04-19T00:00:00Z,,False,,Confirm parking permit,,False,Lorand Norbert,1418369047,,5,,Confirm parking permit,e15fa0ec-265e-48ac-b6be-a2801bd7deb8,Olena+e2@nexudus.com,2026-08-24T16:50:52.1216073Z
1416657350,1421022733,MAIN_E2 (PARENT Location),True,,Kerry White,1423749938,CloudNine Labs,2026-08-24T16:50:53.0136004Z,,False,2026-06-29T00:00:00Z,,False,,Renew ID badge,,False,Lorand Norbert,1418369047,,6,,Renew ID badge,d19a221f-1575-4b37-b792-e723b80d6f70,Olena+e2@nexudus.com,2026-08-24T16:50:53.0136004Z
1416657351,1421022733,MAIN_E2 (PARENT Location),True,,Rachael Byrne,1423750053,,2026-08-24T16:50:53.7954726Z,,False,2026-08-12T00:00:00Z,,False,,Attend orientation session,,False,Lorand Norbert,1418369047,,7,,Attend orientation session,c649ab9e-eafb-4508-a82d-ca36ee356c49,Olena+e2@nexudus.com,2026-08-24T16:50:53.7954726Z
1416657269,1421022733,MAIN_E2 (PARENT Location),True,,Suzanne Phillips,1423750049,,2026-08-24T16:50:54.5974815Z,,False,2026-06-03T00:00:00Z,,False,,Update payment method,,False,Lorand Norbert,1418369047,,8,,Update payment method,f13d7c2d-e91e-415e-819e-9e6d593d105f,Olena+e2@nexudus.com,2026-08-24T16:50:54.5974815Z
1416657270,1421022733,MAIN_E2 (PARENT Location),True,,Heather Thompson,1423750047,,2026-08-24T16:50:55.6597769Z,,False,2026-06-14T00:00:00Z,,False,,Update payment method,,False,Lorand Norbert,1418369047,,9,,Update payment method,b744fa4c-bc87-4319-b4cd-c60592b5dfad,Olena+e2@nexudus.com,2026-08-24T16:50:55.6597769Z
1416657352,1421022733,MAIN_E2 (PARENT Location),True,,Teresa Hopkins,1423747609,Acme Corp,2026-08-24T16:50:56.4328633Z,,False,2026-06-11T00:00:00Z,,False,,Update payment method,,False,Lorand Norbert,1418369047,,10,,Update payment method,49b428cd-888f-4fb3-953d-9f88109806e4,Olena+e2@nexudus.com,2026-08-24T16:50:56.4328633Z
1416657353,1421022733,MAIN_E2 (PARENT Location),False,,Gemma Elliott,1423749940,Bright Studio,2026-08-24T16:50:57.2147544Z,,False,2026-08-06T00:00:00Z,,False,,Collect delivery,,False,Lorand Norbert,1418369047,,11,,Collect delivery,e9a80e40-25dd-4a2f-931f-9b88bd7e4d67,Olena+e2@nexudus.com,2026-08-24T16:50:57.2147544Z
1416657271,1421022733,MAIN_E2 (PARENT Location),False,,Jessica Dixon,1423749948,,2026-08-24T16:50:57.958037Z,,False,2026-07-18T00:00:00Z,,False,,Complete induction checklist,,False,Lorand Norbert,1418369047,,12,,Complete induction checklist,0fde6556-6517-4963-9a23-e4a9951774df,Olena+e2@nexudus.com,2026-08-24T16:50:57.958037Z
1416657272,1421022733,MAIN_E2 (PARENT Location),False,,Ryan Nelson,1423749951,,2026-08-24T16:50:58.6774407Z,,False,2026-07-01T00:00:00Z,,False,,Complete induction checklist,,False,Lorand Norbert,1418369047,,13,,Complete induction checklist,57660a18-3236-4ecd-a58e-52f719d04f90,Olena+e2@nexudus.com,2026-08-24T16:50:58.6774407Z
1416657354,1421022733,MAIN_E2 (PARENT Location),False,,Sian Cox,1423747908,CloudNine Labs,2026-08-24T16:50:59.4348976Z,,False,2026-08-02T00:00:00Z,,False,,Return equipment,,False,Lorand Norbert,1418369047,,14,,Return equipment,b5682a62-c2f4-4903-82e8-c730d65814a3,Olena+e2@nexudus.com,2026-08-24T16:50:59.4348976Z
1416657273,1421022733,MAIN_E2 (PARENT Location),False,,Heather Ryan,1423749934,Bright Studio,2026-08-24T16:51:00.193775Z,,False,2026-07-21T00:00:00Z,,False,,Update payment method,,False,Lorand Norbert,1418369047,,15,,Update payment method,a101b12f-c030-4a88-9ec4-ce63457a188b,Olena+e2@nexudus.com,2026-08-24T16:51:00.193775Z
1416657355,1421022733,MAIN_E2 (PARENT Location),False,,Billy Norton,1423750039,Delta Ventures,2026-08-24T16:51:00.9980543Z,,False,2026-09-07T00:00:00Z,,False,,Return equipment,,False,Lorand Norbert,1418369047,,16,,Return equipment,df6f040a-00bc-493e-9d1e-77d93f41cf04,Olena+e2@nexudus.com,2026-08-24T16:51:00.9980543Z
1416657274,1421022733,MAIN_E2 (PARENT Location),False,,Glen Hawkins,1423750051,,2026-08-24T16:51:02.338704Z,,False,2026-09-21T00:00:00Z,,False,,Renew ID badge,,False,Lorand Norbert,1418369047,,17,,Renew ID badge,80da30d4-8c11-43e2-9b32-6917ca333220,Olena+e2@nexudus.com,2026-08-24T16:51:02.338704Z
1416657275,1421022733,MAIN_E2 (PARENT Location),False,,Ashley Smith,1423747607,Acme Corp,2026-08-24T16:51:03.1986992Z,,False,2026-09-08T00:00:00Z,,False,,Sign contract,,False,Lorand Norbert,1418369047,,18,,Sign contract,72593d4f-fd1c-4f68-980d-97d68aa41ded,Olena+e2@nexudus.com,2026-08-24T16:51:03.1986992Z
1416657276,1421022733,MAIN_E2 (PARENT Location),False,,Janice Glover,1423749939,Echo Digital,2026-08-24T16:51:04.104966Z,,False,2026-09-10T00:00:00Z,,False,,Update emergency contact,,False,Lorand Norbert,1418369047,,19,,Update emergency contact,72569d91-84ab-4649-999a-9a21d04230a2,Olena+e2@nexudus.com,2026-08-24T16:51:04.104966Z
1416657277,1421022733,MAIN_E2 (PARENT Location),False,,Colin Lloyd,1423747910,Delta Ventures,2026-08-24T16:51:04.9493956Z,,False,2026-09-01T00:00:00Z,,False,,Renew ID badge,,False,Lorand Norbert,1418369047,,20,,Renew ID badge,ea75b7c9-e956-483a-8bc2-da91de5f9013,Olena+e2@nexudus.com,2026-08-24T16:51:04.9493956Z
