Id,ArrivalDate,Arrived,BusinessId,CheckInNow,CheckedInAt,CompanyName,CoworkerBillingName,CoworkerCompanyName,CoworkerCoworkerType,CoworkerEmail,CoworkerFullName,CoworkerId,CoworkerTeamNames,CreatedOn,CustomFields,CustomerNotes,DepartureDate,Email,ExpectedArrival,FullName,HasAgreedTerms,HostApprovalStatus,Index,IsNew,IsTour,LocalizationDetails,Notes,PhoneNumber,SystemId,ToStringText,TourConfirmed,UniqueId,UpdatedBy,UpdatedOn,VisitReason,VisitorCode,VisitorSource
1422919975,,False,1421022733,False,,,,,1,test-005@seeddata.local,Teresa Hopkins,1423807130,Acme Corp,2026-08-25T19:14:21.0586283Z,,,,visitor-001@seeddata.local,2026-04-27T12:00:00Z,Iain Rowe-Jackson,False,1,1,False,False,,,,,Iain Rowe-Jackson,False,515c87ad-8746-46eb-a91a-84adedc76cdd,Olena+e2@nexudus.com,2026-08-25T19:14:21.0586283Z,,,3
1422920247,,False,1421022733,False,,,,,1,test-035@seeddata.local,Josephine Hammond,1423807147,,2026-08-25T19:14:21.7231794Z,,,,visitor-002@seeddata.local,2026-04-05T11:00:00Z,Ms Diane Bond,False,1,2,False,False,,,,,Ms Diane Bond,False,e1b4cb4d-dd1e-4b2c-8d03-ce1b982a1781,Olena+e2@nexudus.com,2026-08-25T19:14:21.7231794Z,,,1
1422919976,,False,1421022733,False,,,,,1,test-010@seeddata.local,Victor Harrison,1423806942,Acme Corp,2026-08-25T19:14:22.2786962Z,,,,visitor-003@seeddata.local,2026-03-14T14:00:00Z,Jessica Taylor,False,1,3,False,False,,,,,Jessica Taylor,False,b035b4b4-8dac-4520-8d52-ec947f10642c,Olena+e2@nexudus.com,2026-08-25T19:14:22.2786962Z,,,3
1422919977,,False,1421022733,False,,,,,1,test-035@seeddata.local,Josephine Hammond,1423807147,,2026-08-25T19:14:22.8418201Z,,,,visitor-004@seeddata.local,2026-03-13T11:00:00Z,Aimee Walsh,False,1,4,False,False,,,,,Aimee Walsh,False,929ac22e-f72a-4783-b7ad-2577f50fd6ce,Olena+e2@nexudus.com,2026-08-25T19:14:22.9980233Z,,,2
1422920248,,False,1421022733,False,,,,,0,,,,,2026-08-25T19:14:23.3332316Z,,,,visitor-005@seeddata.local,2026-08-23T08:00:00Z,Phillip Anderson,False,1,5,False,False,,,,,Phillip Anderson,False,c16b6629-19f5-4b95-b63b-8eaacaa2d6e3,Olena+e2@nexudus.com,2026-08-25T19:14:23.4425849Z,,,2
1422919978,,False,1421022733,False,,,,,0,,,,,2026-08-25T19:14:23.7793109Z,,,,visitor-006@seeddata.local,2026-06-28T08:00:00Z,Dr Hilary Turner,False,1,6,False,False,,,,,Dr Hilary Turner,False,9289112e-f5b7-4e25-843a-4cbf71cff6a7,Olena+e2@nexudus.com,2026-08-25T19:14:23.9199246Z,,,2
1422920249,,False,1421022733,False,,,,,0,,,,,2026-08-25T19:14:24.2713911Z,,,,visitor-007@seeddata.local,2026-06-13T16:00:00Z,Malcolm Coates,False,1,7,False,False,,,,,Malcolm Coates,False,e3cb72a7-8477-49e6-bcc7-1e6d952b9c33,Olena+e2@nexudus.com,2026-08-25T19:14:24.3963995Z,,,2
1422919979,,False,1421022733,False,,,,,0,,,,,2026-08-25T19:14:24.7493368Z,,,,visitor-008@seeddata.local,2026-04-23T15:00:00Z,Mr Maurice Atkinson,False,1,8,False,False,,,,,Mr Maurice Atkinson,False,3528a6f4-25be-4948-b10b-87dcbd1f7da4,Olena+e2@nexudus.com,2026-08-25T19:14:24.8899469Z,,,2
1422920250,,False,1421022733,False,,,,,1,test-028@seeddata.local,Jacob Robinson,1423807144,Delta Ventures,2026-08-25T19:14:25.2251642Z,,,,visitor-009@seeddata.local,2026-06-05T13:00:00Z,Max Myers,False,1,9,False,False,,,,,Max Myers,False,6c83d556-139f-4cd0-b49d-8672f63977a3,Olena+e2@nexudus.com,2026-08-25T19:14:25.2251642Z,,,2
1422919980,,False,1421022733,False,,,,,1,test-026@seeddata.local,Jay Rees,1423806949,Echo Digital,2026-08-25T19:14:25.7493553Z,,,,visitor-010@seeddata.local,2026-06-25T10:00:00Z,Dr William Harris,False,1,10,False,False,,,,,Dr William Harris,False,7d199ffc-4586-48e2-97d3-07105b52946c,Olena+e2@nexudus.com,2026-08-25T19:14:25.7493553Z,,,3
1422920251,,False,1421022733,False,,,,,0,,,,,2026-08-25T19:14:26.3358504Z,,,,visitor-011@seeddata.local,2026-06-06T17:00:00Z,Carole Harper,False,1,11,False,False,,,,,Carole Harper,False,2dc3ef05-c138-4e65-b2dc-b0f09e1cc430,Olena+e2@nexudus.com,2026-08-25T19:14:26.3358504Z,,,2
