Id,AvailableCredit,BookingIndex,BookingNumber,BookingProducts,BookingVisitors,CancelIfNotCheckedIn,CancelIfNotPaid,ChargeNow,ChargedExtraServices,CheckedInAt,CoworkerBillingName,CoworkerCheckedInAt,CoworkerCheckedOutAt,CoworkerCompanyName,CoworkerCoworkerType,CoworkerExtraServiceChargePeriod,CoworkerExtraServiceCurrencyCode,CoworkerExtraServiceIds,CoworkerExtraServicePrice,CoworkerExtraServiceTotalUses,CoworkerFullName,CoworkerId,CoworkerInvoiceCreditNote,CoworkerInvoiceDraft,CoworkerInvoiceId,CoworkerInvoiceNumber,CoworkerInvoicePaid,CoworkerInvoiceVoid,CoworkerLandLine,CoworkerMobilePhone,CoworkerTeamNames,CreatedOn,CustomFields,DisableConfirmation,DiscountAmount,DiscountCode,DoNotUseBookingCredit,DynamicPriceAdjustment,EstimagedCost,EstimatedCost,EstimatedCostWithProducts,EstimatedExtraService,EstimatedProductCost,ExtraServiceId,ExtraServiceName,FloorPlanDeskId,FloorPlanDeskName,FromTime,IncludeZoomInvite,InternalNotes,Invoice,InvoiceDate,InvoiceNow,InvoiceThisCoworker,Invoiced,IsEvent,IsNew,IsTour,LastMinutePriceAdjustment,LocalizationDetails,MaxOccupancy,MinutesToStart,Notes,Online,OverridePrice,OverrideResourceLimits,PriceFactorDemand,PriceFactorLastMinute,PurchaseOrder,RepeatBooking,RepeatEvery,RepeatOnFridays,RepeatOnMondays,RepeatOnSaturdays,RepeatOnSundays,RepeatOnThursdays,RepeatOnTuesdays,RepeatOnWednesdays,RepeatSeriesUniqueId,RepeatUntil,Repeats,ResourceAllocation,ResourceHideInCalendar,ResourceId,ResourceName,ResourceNoReturnPolicy,ResourceNoReturnPolicyAllResources,ResourceNoReturnPolicyAllUsers,ResourceResourceTypeId,ResourceResourceTypeName,SkipGoogleCalendarUpdate,SystemId,TariffAtTheTimeOfBooking,TeamsAtTheTimeOfBooking,Tentative,ToCancel,ToStringText,ToTime,UniqueId,UpdatedBy,UpdatedOn,WhichBookingsToUpdate
1455637322,0.0,1,26,"[{'BookingId': 1455637322, 'ProductId': 1415477143, 'ProductName': 'Catering - Tea/Coffee', 'ProductPrice': 5.0, 'ProductCurrencyCode': 'EUR', 'InvoiceInMinutes': False, 'Quantity': 1, 'Id': 1417183698, 'UpdatedOn': '2026-08-25T19:19:26.3607511Z', 'CreatedOn': '2026-08-25T19:19:26.3607511Z', 'UniqueId': 'd092e714-9b6c-42b1-8b9e-bc43d1ab65a6', 'UpdatedBy': 'Olena+e2@nexudus.com', 'IsNew': False, 'SystemId': None, 'ToStringText': 'Catering - Tea/Coffee', 'LocalizationDetails': None, 'CustomFields': None}]",[],False,False,False,,,,,,,Individual,,,,,,Mary Higgins,1423807131,False,False,,,False,False,,,CloudNine Labs,2026-08-25T19:19:26.3607511Z,,False,,,False,,5.0,5.0,,,,,,,,2026-06-21T09:00:00Z,False,,,,False,True,False,False,False,False,,,,-94219,,False,,True,,,,True,1,False,False,False,False,False,False,False,d2666533-2329-472e-8125-cd50e26af90d,2026-12-23T00:00:00Z,2,,False,1415381597,Meeting Room Gamma,,,,1415379774,Meeting Room,False,,Private Office Annual,CloudNine Labs,False,False,Meeting Room Gamma (#26),2026-06-21T09:30:00Z,bfe8f129-92a4-4259-b4cb-b2347a9d07c7,Olena+e2@nexudus.com,2026-08-25T19:19:26.3607511Z,1
1455637339,0.0,2,43,[],[],False,False,False,,,,,,,Individual,,,,,,Ryan Nelson,1423807154,False,False,,,False,False,,,,2026-08-25T19:19:31.2977654Z,,False,,,False,,0.0,0.0,,,,,,,,2026-07-07T13:00:00Z,False,,,,False,True,False,False,False,False,,,,-70939,,False,,True,,,,True,1,False,False,False,False,False,False,False,243fac04-3cc8-4d2f-990a-a1394f4c77ff,2026-10-31T00:00:00Z,2,,False,1415381595,Boardroom Alpha,,,,1415379774,Meeting Room,False,,"Dedicated Desk Monthly, Private Office Small, Hot Desk Quarterly",,False,False,Boardroom Alpha (#43),2026-07-07T14:00:00Z,b25b1dae-6d23-4531-bf13-fa6b496d88f7,Olena+e2@nexudus.com,2026-08-25T19:19:31.2977654Z,1
1455636828,0.0,3,67,[],[],False,False,False,,,,,,,Individual,,,,,,Irene Wilson,1423807143,False,False,,,False,False,,,Bright Studio,2026-08-25T19:19:38.7859281Z,,False,,,False,,0.0,0.0,,,,,,,,2026-06-18T11:00:00Z,False,,,,False,True,False,False,False,False,,,,-98419,,False,,True,,,,True,1,False,False,False,False,False,False,False,e0a0e31f-e39d-453d-85c2-18235809baf3,2026-11-27T00:00:00Z,2,,False,1415381595,Boardroom Alpha,,,,1415379774,Meeting Room,False,,"Hot Desk Monthly, Private Office Annual",Bright Studio,False,False,Boardroom Alpha (#67),2026-06-18T12:00:00Z,6ceefdd7-91fe-4f4a-82f0-c047e6870f37,Olena+e2@nexudus.com,2026-08-25T19:19:38.7859281Z,1
1455638570,0.0,4,86,"[{'BookingId': 1455638570, 'ProductId': 1415477144, 'ProductName': 'AV Equipment', 'ProductPrice': 25.0, 'ProductCurrencyCode': 'EUR', 'InvoiceInMinutes': False, 'Quantity': 1, 'Id': 1417183717, 'UpdatedOn': '2026-08-25T19:19:46.0021965Z', 'CreatedOn': '2026-08-25T19:19:46.0021965Z', 'UniqueId': 'e672a43e-9a72-44e9-b0f5-4417b739ee34', 'UpdatedBy': 'Olena+e2@nexudus.com', 'IsNew': False, 'SystemId': None, 'ToStringText': 'AV Equipment', 'LocalizationDetails': None, 'CustomFields': None}]",[],False,False,False,,,,,,,Individual,,,,,,Jacqueline Wilson,1423807153,False,False,,,False,False,,,,2026-08-25T19:19:46.0021965Z,,False,,,False,,25.0,25.0,,,,,,,,2026-07-26T11:00:00Z,False,,,,False,True,False,False,False,False,,,,-43699,,False,,True,,,,True,1,False,False,False,False,False,False,False,4b449eb3-65af-408d-803a-d6995aeb1279,2026-12-02T00:00:00Z,2,,False,1415381692,Meeting Room Zeta,,,,1415379774,Meeting Room,False,,"Private Office Large, Flex Fortnightly, Hot Desk Monthly",,False,False,Meeting Room Zeta (#86),2026-07-26T11:30:00Z,4e6aafdb-3eb5-4819-8558-1852a9dcf6fa,Olena+e2@nexudus.com,2026-08-25T19:19:46.0021965Z,1
1455638591,0.0,5,107,[],[],False,False,False,,,,,,,Individual,,,,,,Glen Hawkins,1423807157,False,False,,,False,False,,,,2026-08-25T19:19:51.1623729Z,,False,,,False,,0.0,0.0,,,,,,,,2026-06-23T12:00:00Z,False,,,,False,True,False,False,False,False,,,,-91159,,False,,True,,,,True,1,False,False,False,False,False,False,False,d808816a-96ca-49c7-b8fb-d563795d603e,2026-11-16T00:00:00Z,2,,False,1415381596,Meeting Room Beta,,,,1415379774,Meeting Room,False,,"Flex Weekly, Dedicated Desk Monthly",,False,False,Meeting Room Beta (#107),2026-06-23T13:00:00Z,b71134c9-4cf9-486d-bb98-197082e5e767,Olena+e2@nexudus.com,2026-08-25T19:19:51.1623729Z,1
1455638613,0.0,6,129,[],[],False,False,False,,,,,,,Individual,,,,,,Ryan Nelson,1423807154,False,False,,,False,False,,,,2026-08-25T19:19:55.6874425Z,,False,,,False,,0.0,0.0,,,,,,,,2026-06-16T17:00:00Z,False,,,,False,True,False,False,False,False,,,,-100939,,False,,True,,,,True,1,False,False,False,False,False,False,False,2911764e-e16a-4f9f-98ca-5ae7b207a1d3,2026-11-17T00:00:00Z,2,,False,1415381695,Hot Desk Area D,,,,1415379775,Hot Desk,False,,"Dedicated Desk Monthly, Private Office Small, Hot Desk Quarterly",,False,False,Hot Desk Area D (#129),2026-06-16T17:30:00Z,5f260171-2e8f-4dde-8652-9739b4f24a16,Olena+e2@nexudus.com,2026-08-25T19:19:55.6874425Z,1
1455638636,0.0,7,151,[],[],False,False,False,,,,,,,Individual,,,,,,Leslie Warner,1423807137,False,False,,,False,False,,,Bright Studio,2026-08-25T19:20:02.5922332Z,,False,,,False,,0.0,0.0,,,,,,,,2026-07-11T14:00:00Z,False,,,,False,True,False,False,False,False,,,,-65120,,False,,True,,,,True,1,False,False,False,False,False,False,False,5a5f5738-8190-462a-a652-91d75521d46a,2026-12-09T00:00:00Z,2,,False,1415381694,Hot Desk Area C,,,,1415379775,Hot Desk,False,,Flex Fortnightly,Bright Studio,False,False,Hot Desk Area C (#151),2026-07-11T14:30:00Z,4e7aa5da-f467-4797-a367-ebe86706e9f0,Olena+e2@nexudus.com,2026-08-25T19:20:02.5922332Z,1
1455638674,0.0,8,178,[],[],False,False,False,,,,,,,Individual,,,,,,Colin Lloyd,1423807132,False,False,,,False,False,,,Delta Ventures,2026-08-25T19:20:11.2624421Z,,False,,,False,,0.0,0.0,,,,,,,,2026-06-04T10:00:00Z,False,,,,False,True,False,False,False,False,,,,-118640,,False,,True,,,,True,1,False,False,False,False,False,False,False,17f92a68-5af8-457a-9b88-0fbb19e02a18,2026-12-04T00:00:00Z,2,,False,1415381600,Hot Desk Area B,,,,1415379775,Hot Desk,False,,Flex Fortnightly,Delta Ventures,False,False,Hot Desk Area B (#178),2026-06-04T11:00:00Z,5d1665e3-8887-447a-8ea7-557c2bcb2670,Olena+e2@nexudus.com,2026-08-25T19:20:11.2624421Z,1
1455638641,0.0,9,183,[],[],False,False,False,,,,,,,Individual,,,,,,Jessica Dixon,1423807150,False,False,,,False,False,,,,2026-08-25T19:20:15.3283425Z,,False,,,False,,0.0,0.0,,,,,,,,2026-06-05T13:00:00Z,False,,,,False,True,False,False,False,False,,,,-117020,,False,,True,,,,True,1,False,False,False,False,False,False,False,e8ea8dd4-01ff-4ed1-a5d1-92600b1c0cde,2026-11-01T00:00:00Z,3,,False,1415381692,Meeting Room Zeta,,,,1415379774,Meeting Room,False,,"Dedicated Desk Monthly, Hot Desk Quarterly",,False,False,Meeting Room Zeta (#183),2026-06-05T17:00:00Z,a7de25dc-1dec-4baa-81d4-d4b19c091cad,Olena+e2@nexudus.com,2026-08-25T19:20:15.3283425Z,1
1455638647,0.0,10,189,[],[],False,False,False,,,,,,,Individual,,,,,,Jessica Dixon,1423807150,False,False,,,False,False,,,,2026-08-25T19:20:17.1877248Z,,False,,,False,,0.0,0.0,,,,,,,,2026-05-28T18:00:00Z,False,,,,False,True,False,False,False,False,,,,-128240,,False,,True,,,,True,1,False,False,False,False,False,False,False,6c5eb815-63ad-476c-bac3-4f3caaf00ed2,2026-11-12T00:00:00Z,3,,False,1415381596,Meeting Room Beta,,,,1415379774,Meeting Room,False,,"Dedicated Desk Monthly, Hot Desk Quarterly",,False,False,Meeting Room Beta (#189),2026-05-28T22:00:00Z,5dc97a9d-1b66-45a0-a067-d1434620c27e,Olena+e2@nexudus.com,2026-08-25T19:20:17.1877248Z,1
