Id,CoworkerContractCoworkerBillingName,CoworkerContractCoworkerFullName,CoworkerContractCoworkerId,CoworkerContractFloorPlanDeskIds,CoworkerContractFloorPlanDeskNames,CoworkerContractId,CoworkerContractQuantity,CoworkerContractTariffName,CreatedOn,CustomFields,IsNew,LocalizationDetails,Notes,PauseFrom,PauseUntil,PausedPeriodIndex,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
74441,,Gerald Richardson,1423807152,,,1418970330,1,Dedicated Desk Monthly,2026-08-25T19:18:50.3012488Z,,False,,,2026-06-01T00:00:00Z,2026-09-01T00:00:00Z,1,,Gerald Richardson,058da5f8-6226-4987-b458-5dc0fb29a26c,Olena+e2@nexudus.com,2026-08-25T19:18:50.3012488Z
74341,,Bethany Johnston,1423807156,,,1418970417,1,Hot Desk Monthly,2026-08-25T19:18:51.4647963Z,,False,,,2026-10-01T00:00:00Z,2026-11-01T00:00:00Z,2,,Bethany Johnston,e333082b-70eb-41ce-a78c-05bb1ecc3ce7,Olena+e2@nexudus.com,2026-08-25T19:18:51.4647963Z
74342,,Megan Taylor,1423806950,,,1418970321,1,Dedicated Desk Monthly,2026-08-25T19:18:52.0585774Z,,False,,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,3,,Megan Taylor,44224c1f-770e-483e-8405-b8e9ae95887c,Olena+e2@nexudus.com,2026-08-25T19:18:52.0585774Z
74442,,Leigh Butler,1423806946,,,1418970312,1,Dedicated Desk Monthly,2026-08-25T19:18:52.6151071Z,,False,,,2026-11-01T00:00:00Z,2026-12-01T00:00:00Z,4,,Leigh Butler,90713bb9-5d1b-4f5b-ad9c-78694a43332f,Olena+e2@nexudus.com,2026-08-25T19:18:52.6151071Z
74443,,Heather Thompson,1423807148,,,1418969904,1,Hot Desk Quarterly,2026-08-25T19:18:52.9119579Z,,False,,,2026-01-01T00:00:00Z,2026-04-01T00:00:00Z,5,,Heather Thompson,d8e9ac5e-c757-4fba-8d3e-880cf698c7f3,Olena+e2@nexudus.com,2026-08-25T19:18:52.9119579Z
74444,,Irene Wilson,1423807143,,,1418969898,1,Hot Desk Monthly,2026-08-25T19:18:53.209569Z,,False,,,2026-01-01T00:00:00Z,2026-04-01T00:00:00Z,6,,Irene Wilson,8d559987-6b04-4865-aa1b-439a130cf26a,Olena+e2@nexudus.com,2026-08-25T19:18:53.209569Z
74445,,Jacqueline Wilson,1423807153,,,1418970413,1,Private Office Large,2026-08-25T19:18:53.4907927Z,,False,,,2026-09-01T00:00:00Z,2026-10-01T00:00:00Z,7,,Jacqueline Wilson,b67e4297-8fe1-44cc-bbdd-310f0598b063,Olena+e2@nexudus.com,2026-08-25T19:18:53.4907927Z
74343,,Jay Rees,1423806949,,,1418969897,1,Dedicated Desk Monthly,2026-08-25T19:18:53.8098449Z,,False,,,2026-12-01T00:00:00Z,2027-02-01T00:00:00Z,8,,Jay Rees,cfe577c8-1758-4fe9-94d2-a89d8cdf9d91,Olena+e2@nexudus.com,2026-08-25T19:18:53.8098449Z
74344,,Leanne Foster,1423806941,,,1418970005,1,Hot Desk Monthly,2026-08-25T19:18:54.1067147Z,,False,,,2025-08-01T00:00:00Z,2025-11-01T00:00:00Z,9,,Leanne Foster,caef5c43-2da2-4c1e-a9ac-9d007a24417b,Olena+e2@nexudus.com,2026-08-25T19:18:54.1067147Z
74345,,Diane Newman,1423807128,,,1418970002,1,Dedicated Desk Monthly,2026-08-25T19:18:54.4035989Z,,False,,,2026-05-01T00:00:00Z,2026-08-01T00:00:00Z,10,,Diane Newman,539a3726-76a9-4132-b900-a9119bf92b0a,Olena+e2@nexudus.com,2026-08-25T19:18:54.4035989Z
74446,,Mary Higgins,1423807131,,,1418969887,1,Private Office Annual,2026-08-25T19:18:54.6952291Z,,False,,,2026-05-01T00:00:00Z,2026-09-01T00:00:00Z,11,,Mary Higgins,59a57755-66a6-4907-b8e6-670ea02eebce,Olena+e2@nexudus.com,2026-08-25T19:18:54.6952291Z
74447,,Ryan Nelson,1423807154,,,1418970332,1,Hot Desk Quarterly,2026-08-25T19:18:54.9921205Z,,False,,,2026-05-01T00:00:00Z,2026-09-01T00:00:00Z,12,,Ryan Nelson,8de94ead-2847-4990-8a37-b6e937249605,Olena+e2@nexudus.com,2026-08-25T19:18:54.9921205Z
