Id,AiChannelSessionId,AiProcessingResult,BusinessId,ClearImageFile,Closed,ClosedOn,CoworkerFullName,CoworkerId,CreatedOn,CustomFields,FirstResponseTimeInMinutes,HelpDeskDepartmentId,HelpDeskDepartmentName,HelpDeskIndex,ImageFileName,IsNew,LocalizationDetails,MessageText,MinutesToClose,NewImageUrl,OwnerFullName,OwnerId,Priority,Subject,SupportIssueCategory,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
1416050810,,1,1421022733,False,True,2026-08-25T19:53:03.0131941Z,Jessica Dixon,1423807150,2026-08-25T19:53:03.0131941Z,,,1414804970,Facilities,1,,False,,Leak in kitchen. Please look into this when you get a chance.,0.0,,,,1,Leak in kitchen,,,Leak in kitchen,06eba145-226e-42e4-8e65-d70f4db19f3c,Olena+e2@nexudus.com,2026-08-25T19:53:03.0288048Z
1416050412,,1,1421022733,False,True,2026-08-25T19:53:03.4314336Z,Gerald Richardson,1423807152,2026-08-25T19:53:03.4314336Z,,,1414804970,Facilities,2,,False,,Leak in kitchen. Please look into this when you get a chance.,0.0,,,,3,Leak in kitchen,,,Leak in kitchen,f8dd4a89-7d0a-4435-a119-c7a66d8b27a2,Olena+e2@nexudus.com,2026-08-25T19:53:03.4471579Z
1416050413,,1,1421022733,False,True,2026-08-25T19:53:03.7786513Z,Sian Cox,1423807129,2026-08-25T19:53:03.7786513Z,,,1414804970,Facilities,3,,False,,Locker jammed. Please look into this when you get a chance.,0.0,,,,2,Locker jammed,,,Locker jammed,34cf513c-5282-4040-9712-22ee7b9db596,Olena+e2@nexudus.com,2026-08-25T19:53:03.7922201Z
1416050811,,1,1421022733,False,False,,Jacqueline Wilson,1423807153,2026-08-25T19:53:04.1863497Z,,,1414804870,Billing,4,,False,,Need refund for cancelled booking. Please look into this when you get a chance.,,,,,2,Need refund for cancelled booking,,,Need refund for cancelled booking,6b8e9975-6c56-472a-a3c2-2caa6e5b5a3f,Olena+e2@nexudus.com,2026-08-25T19:53:04.1863497Z
1416050414,,1,1421022733,False,True,2026-08-25T19:53:04.5734881Z,Janice Glover,1423807138,2026-08-25T19:53:04.5734881Z,,,1414804970,Facilities,5,,False,,Broken chair at hot desk. Please look into this when you get a chance.,0.0,,,,3,Broken chair at hot desk,,,Broken chair at hot desk,0ab1ab25-57b5-42d6-86d8-8e71f13b1a1d,Olena+e2@nexudus.com,2026-08-25T19:53:04.5891097Z
1416050812,,1,1421022733,False,False,,Rhys Davies,1423806952,2026-08-25T19:53:05.030091Z,,,1414804870,Billing,6,,False,,Need refund for cancelled booking. Please look into this when you get a chance.,,,,,3,Need refund for cancelled booking,,,Need refund for cancelled booking,739b77d6-381f-4e5a-9702-4272237339fc,Olena+e2@nexudus.com,2026-08-25T19:53:05.030091Z
1416050813,,1,1421022733,False,True,2026-08-25T19:53:05.6244858Z,Irene Wilson,1423807143,2026-08-25T19:53:05.6244858Z,,,1414804970,Facilities,7,,False,,Leak in kitchen. Please look into this when you get a chance.,0.0,,,,2,Leak in kitchen,,,Leak in kitchen,57f757a2-dea9-48a9-8018-c82d54b62cf6,Olena+e2@nexudus.com,2026-08-25T19:53:05.6244858Z
1416050415,,1,1421022733,False,True,2026-08-25T19:53:06.0584783Z,Leigh Butler,1423806946,2026-08-25T19:53:06.0584783Z,,,1414804870,Billing,8,,False,,Invoice query. Please look into this when you get a chance.,0.0,,,,2,Invoice query,,,Invoice query,6c3b53c0-17d5-44d7-87de-863c0a1c8efc,Olena+e2@nexudus.com,2026-08-25T19:53:06.0741Z
1416050814,,1,1421022733,False,False,,Chelsea Powell,1423807160,2026-08-25T19:53:06.4064051Z,,,1414804869,IT Support,9,,False,,Laptop won't turn on. Please look into this when you get a chance.,,,,,1,Laptop won't turn on,,,Laptop won't turn on,ba4bec9d-cc31-4d12-864c-9dc1235b8ca7,Olena+e2@nexudus.com,2026-08-25T19:53:06.4064051Z
1416050815,,1,1421022733,False,False,,Gemma Elliott,1423807139,2026-08-25T19:53:06.7970488Z,,,1414804869,IT Support,10,,False,,WiFi not working in meeting room. Please look into this when you get a chance.,,,,,2,WiFi not working in meeting room,,,WiFi not working in meeting room,ae9049b9-dca4-425f-bb5f-9f651b4983a6,Olena+e2@nexudus.com,2026-08-25T19:53:06.7970488Z
