Id,BookingId,BookingIndex,CreatedOn,CustomFields,GuestKey,IsNew,LocalizationDetails,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn,VisitorArrivalDate,VisitorCompanyName,VisitorDepartureDate,VisitorEmail,VisitorFullName,VisitorId,VisitorPhoneNumber
1419147912,1455565000,6,2026-08-24T16:20:41.747123Z,,6:0,False,,,Leslie Roberts-Griffiths,44f476b4-4ce3-4dba-a262-9cae5488b23c,Olena+e2@nexudus.com,2026-08-24T16:20:41.747123Z,,,,visitor-041@seeddata.local,Leslie Roberts-Griffiths,1422893948,
1419147913,1455564620,7,2026-08-24T16:21:13.3098372Z,,7:0,False,,,Eric O'Neill,f5dcb760-88eb-4223-af34-46484c808cf4,Olena+e2@nexudus.com,2026-08-24T16:21:13.3098372Z,,,,visitor-027@seeddata.local,Eric O'Neill,1422893636,
1419147914,1455565028,8,2026-08-24T16:21:41.9602872Z,,8:0,False,,,Leslie Roberts-Griffiths,5675b6f6-e424-45c2-835e-78ac4e51f6bb,Olena+e2@nexudus.com,2026-08-24T16:21:41.9602872Z,,,,visitor-041@seeddata.local,Leslie Roberts-Griffiths,1422893948,
1419147915,1455565036,11,2026-08-24T16:21:45.0441841Z,,11:0,False,,,Adam Long,a7af4eef-2960-4580-93d1-06076ab44042,Olena+e2@nexudus.com,2026-08-24T16:21:45.0441841Z,,,,visitor-040@seeddata.local,Adam Long,1422893645,
1419147916,1455565036,11,2026-08-24T16:21:47.5996863Z,,11:1,False,,,Henry O'Brien,7e05b298-51b6-424f-a20f-83c833126881,Olena+e2@nexudus.com,2026-08-24T16:21:47.5996863Z,,,,visitor-022@seeddata.local,Henry O'Brien,1422893940,
1419147917,1455565033,19,2026-08-24T16:21:50.5815944Z,,19:0,False,,,Martyn Wilson,c3219b34-7dbf-4115-b4d8-64602638b2e1,Olena+e2@nexudus.com,2026-08-24T16:21:50.5815944Z,,,,visitor-029@seeddata.local,Martyn Wilson,1422893638,
1419147918,1455565034,20,2026-08-24T16:21:53.1355867Z,,20:0,False,,,John Griffiths,fa7ec8ea-5371-4724-a5d6-3489ef519b98,Olena+e2@nexudus.com,2026-08-24T16:21:53.1355867Z,,,,visitor-017@seeddata.local,John Griffiths,1422893936,
1419147919,1455565034,20,2026-08-24T16:21:55.5893206Z,,20:1,False,,,David Anderson,0159c12c-c26b-4e55-a70b-0517e4b5e2ff,Olena+e2@nexudus.com,2026-08-24T16:21:55.5893206Z,,,,visitor-016@seeddata.local,David Anderson,1422893935,
1419147920,1455565034,20,2026-08-24T16:21:58.4379568Z,,20:2,False,,,Miss Alice Tomlinson,5ad2d032-f46a-433f-80b1-fa05b2165906,Olena+e2@nexudus.com,2026-08-24T16:21:58.4379568Z,,,,visitor-018@seeddata.local,Miss Alice Tomlinson,1422893633,
1419147921,1455565137,22,2026-08-24T16:22:01.0656817Z,,22:0,False,,,Wayne Page-Carter,0939b5e6-a6c1-490e-923f-99bef31580bf,Olena+e2@nexudus.com,2026-08-24T16:22:01.0656817Z,,,,visitor-012@seeddata.local,Wayne Page-Carter,1422893631,
1419147922,1455565137,22,2026-08-24T16:22:03.3684726Z,,22:1,False,,,Maria Bruce,177326d7-2dbe-42f9-b245-5745170254c1,Olena+e2@nexudus.com,2026-08-24T16:22:03.3684726Z,,,,visitor-032@seeddata.local,Maria Bruce,1422893944,
1419147923,1455565141,27,2026-08-24T16:22:05.9834292Z,,27:0,False,,,Sally George,82b1d9cd-5dc6-48fd-81a3-891cf490b507,Olena+e2@nexudus.com,2026-08-24T16:22:05.9834292Z,,,,visitor-055@seeddata.local,Sally George,1422893655,
1419147924,1455565141,27,2026-08-24T16:22:09.4754197Z,,27:1,False,,,Lydia Williams,987ae3c0-f1b6-403a-b28c-c6695615bb3c,Olena+e2@nexudus.com,2026-08-24T16:22:09.4754197Z,,,,visitor-037@seeddata.local,Lydia Williams,1422893946,
