Id,Active,AddedDesks,AddedVariants,AddressChecksDueOn,ApplyProRating,BillingDay,CancelTeamContracts,CancellationDate,CancellationLimitDays,CancellationNotes,CancellationReason,Cancelled,ContractIndex,ContractTerm,CourseMemberUniqueId,CoworkerActive,CoworkerBillingName,CoworkerCompanyName,CoworkerCoworkerType,CoworkerEmail,CoworkerFullName,CoworkerId,CreatedOn,CustomFields,DeliveryHandlingPreferenceChecks,DeliveryHandlingPreferenceMail,DeliveryHandlingPreferenceParcels,DeliveryHandlingPreferencePublicity,DeliveryInstructions,DepositProductNames,DeskAreas,DeskCapacity,DeskPrice,DeskSize,Desks,DurationInDays,DurationInMonths,DurationInWeeks,FloorPlanDeskAreas,FloorPlanDeskIds,FloorPlanDeskNames,FloorPlanDeskVariantIds,FloorPlanDeskVariantNames,IdentityChecksDueOn,InPausedPeriod,InPausedPeriodFrom,InPausedPeriodUntil,IncludeSignupFee,InvoiceAdvancedCycles,InvoicedPeriod,IsNew,IssuedByAddress,IssuedById,IssuedByName,LocalizationDetails,MainContract,NextAutoInvoice,NextTariffId,NextTariffName,Notes,PoBoxNumber,Price,PricePlanTermsAccepted,PricePlanTermsAcceptedOn,PriceWithProducts,PriceWithProductsAndDeposits,ProRateCancellation,ProposalContractUniqueId,ProposalUniqueId,PurchaseOrder,Quantity,RemovedDesks,RemovedVariants,RenewalDate,Scenario,Schedules,StartDate,SystemId,TariffCurrencyCode,TariffId,TariffInvoiceEvery,TariffInvoiceEveryWeeks,TariffName,TariffPrice,TermDurationInDays,TermDurationInMonths,TermDurationInWeeks,ToStringText,TotalDeposits,TotalNonRefundableDeposits,TotalPrice,TotalRefundableDeposits,UniqueId,UnitPrice,UpdatedBy,UpdatedOn,Value,Variants
1418966551,True,,,,False,4,False,,,,,False,1,,,True,,,Individual,test-001@seeddata.local,Stanley Griffiths,1423747907,2026-08-24T16:10:26.3185428Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2025-03-29T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415114,Flex Weekly,,,,False,,50.0,50.0,False,,,,1,,,2025-03-29T00:00:00Z,long_term_active,[],2025-03-29T00:00:00Z,,EUR,1415415114,0,1,Flex Weekly,50.0,,,,Stanley Griffiths - Flex Weekly ,,,50.0,,3af535a3-6bae-4c1e-83ea-50bcc6764f0d,50.0,Olena+e2@nexudus.com,2026-08-24T16:10:26.7560219Z,,[]
1418966552,True,,,,False,27,False,,,,,False,2,,,True,,,Individual,test-001@seeddata.local,Stanley Griffiths,1423747907,2026-08-24T16:10:27.5021608Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2025-09-11T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415114,Flex Weekly,,,,False,,50.0,50.0,False,,,,1,,,2025-09-11T00:00:00Z,long_term_active,[],2025-09-11T00:00:00Z,,EUR,1415415114,0,1,Flex Weekly,50.0,,,,Stanley Griffiths - Flex Weekly ,,,50.0,,adfb702d-8a5d-4fb3-b812-e8471a3e97e1,50.0,Olena+e2@nexudus.com,2026-08-24T16:10:27.595924Z,,[]
1418966553,True,,,,False,26,False,,,,,False,3,2025-11-16T00:00:00Z,,True,,,Individual,test-002@seeddata.local,Ashley Smith,1423747607,2026-08-24T16:10:28.3146742Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2024-11-16T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415112,Private Office Small,,,1082.52,False,,1082.52,1082.52,False,,,,1,,,2024-11-16T00:00:00Z,long_term_active,[],2024-11-16T00:00:00Z,,EUR,1415415112,1,0,Private Office Small,1200.0,365.0,12,52.142857142857146,Ashley Smith - Private Office Small ,,,1082.52,,c42e8d08-ed2d-4c77-af02-aef1bf714a94,1082.52,Olena+e2@nexudus.com,2026-08-24T16:10:28.4084283Z,1200.0,[]
1418966554,True,,,,False,4,False,,,,,False,4,,,True,,,Individual,test-002@seeddata.local,Ashley Smith,1423747607,2026-08-24T16:10:29.0803066Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2026-03-10T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415115,Flex Fortnightly,,,,False,,250.0,250.0,False,,,,1,,,2026-03-10T00:00:00Z,long_term_active,[],2026-03-10T00:00:00Z,,EUR,1415415115,0,2,Flex Fortnightly,250.0,,,,Ashley Smith - Flex Fortnightly ,,,250.0,,f21ca884-d654-45f0-b11d-fb29a02b9136,250.0,Olena+e2@nexudus.com,2026-08-24T16:10:29.220924Z,,[]
1418966891,True,,,,False,13,False,,,,,False,5,,,True,,,Individual,test-003@seeddata.local,Diane Newman,1423747608,2026-08-24T16:10:30.0133722Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2025-08-17T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415111,Dedicated Desk Monthly,,,,False,,350.0,350.0,False,,,,1,,,2025-08-17T00:00:00Z,long_term_active,[],2025-08-17T00:00:00Z,,EUR,1415415111,1,0,Dedicated Desk Monthly,350.0,,,,Diane Newman - Dedicated Desk Monthly ,,,350.0,,6d0d72a3-9655-40a5-8d8f-e1786c7b298d,350.0,Olena+e2@nexudus.com,2026-08-24T16:10:30.1539996Z,,[]
1418966555,True,,,,False,16,False,,,,,False,6,,,True,,,Individual,test-003@seeddata.local,Diane Newman,1423747608,2026-08-24T16:10:31.173353Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2026-06-19T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415013,Hot Desk Quarterly,,,,False,,400.0,400.0,False,,,,1,,,2026-06-19T00:00:00Z,long_term_active,[],2026-06-19T00:00:00Z,,EUR,1415415013,3,0,Hot Desk Quarterly,400.0,,,,Diane Newman - Hot Desk Quarterly ,,,400.0,,245c5a45-3247-4964-a926-ca4ac7b41676,400.0,Olena+e2@nexudus.com,2026-08-24T16:10:31.256244Z,,[]
1418966556,True,,,,False,14,False,,,,,False,7,,,True,,,Individual,test-004@seeddata.local,Sian Cox,1423747908,2026-08-24T16:10:31.8981971Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2024-09-13T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415013,Hot Desk Quarterly,,,359.14,False,,359.14,359.14,False,,,,1,,,2024-09-13T00:00:00Z,long_term_active,[],2024-09-13T00:00:00Z,,EUR,1415415013,3,0,Hot Desk Quarterly,400.0,,,,Sian Cox - Hot Desk Quarterly ,,,359.14,,e2f4e7bc-d528-4367-aef7-1b667c846058,359.14,Olena+e2@nexudus.com,2026-08-24T16:10:32.0232184Z,400.0,[]
1418966557,True,,,,False,1,False,,,,,False,8,,,True,,,Individual,test-005@seeddata.local,Teresa Hopkins,1423747609,2026-08-24T16:10:32.9294801Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2024-12-30T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415013,Hot Desk Quarterly,,,343.61,False,,343.61,343.61,False,,,,1,,,2024-12-30T00:00:00Z,long_term_active,[],2024-12-30T00:00:00Z,,EUR,1415415013,3,0,Hot Desk Quarterly,400.0,,,,Teresa Hopkins - Hot Desk Quarterly ,,,343.61,,f272290c-f1be-4a3b-9d74-4179f2afea97,343.61,Olena+e2@nexudus.com,2026-08-24T16:10:33.0076012Z,400.0,[]
1418966558,True,,,,False,19,False,,,,,False,9,2026-06-14T00:00:00Z,,True,,,Individual,test-006@seeddata.local,Mary Higgins,1423747909,2026-08-24T16:10:33.6638532Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2025-06-14T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415113,Private Office Annual,,,,False,,12000.0,12000.0,False,,,,1,,,2025-06-14T00:00:00Z,long_term_active,[],2025-06-14T00:00:00Z,,EUR,1415415113,12,0,Private Office Annual,12000.0,365.0,12,52.142857142857146,Mary Higgins - Private Office Annual ,,,12000.0,,6de7ae83-1379-488b-b28d-5a682c9ababb,12000.0,Olena+e2@nexudus.com,2026-08-24T16:10:33.741962Z,,[]
1418966559,True,,,,False,2,False,,,,,False,10,,,True,,,Individual,test-007@seeddata.local,Colin Lloyd,1423747910,2026-08-24T16:10:34.4776974Z,,,,,,,,,0.0,0.0,0.0,[],,,,,,,,,,False,,,False,False,2025-06-15T00:00:00Z,False,,1421022733,MAIN_E2 (PARENT Location),,False,,1415415115,Flex Fortnightly,,,,False,,250.0,250.0,False,,,,1,,,2025-06-15T00:00:00Z,long_term_active,[],2025-06-15T00:00:00Z,,EUR,1415415115,0,2,Flex Fortnightly,250.0,,,,Colin Lloyd - Flex Fortnightly ,,,250.0,,96e07924-55c7-4036-aa06-0ff0cd565b3e,250.0,Olena+e2@nexudus.com,2026-08-24T16:10:34.6652063Z,,[]
