Id,AccessCardId,AccessPincode,Active,AddedBusinesses,AddedTeams,Address,AiSessionId,AlertNote,AllowNetworkCheckin,Archived,AvatarFileName,BankAccount,BankBranch,BankName,BannerImageFileName,BillingAddress,BillingCityName,BillingCountryId,BillingDay,BillingEmail,BillingLatitude,BillingLongitude,BillingName,BillingPostCode,BillingSimpleTimeZoneId,BillingState,Blogger,BusinessArea,BusinessNames,Businesses,CanAccessCommunity,CanBookForTeam,CanMakeBookings,CanPurchaseEvents,CanPurchaseProducts,CancellationDate,CardNumber,CheckinSinceLastRenewal,ChurnProbability,CityName,ClearAvatarFile,ClearBannerImageFile,CompanyName,CountryId,CoworkerContractIds,CoworkerContractTariffNames,CoworkerType,CreateSingleInvoiceForTeam,CreateUser,CreatedOn,CurrentAccessSignature,Custom1,Custom10,Custom11,Custom12,Custom13,Custom14,Custom15,Custom16,Custom17,Custom18,Custom19,Custom2,Custom20,Custom21,Custom22,Custom23,Custom24,Custom25,Custom26,Custom27,Custom28,Custom29,Custom3,Custom30,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,CustomFields,DateOfBirth,Desks,DoNotProcessInvoicesAutomatically,Email,EnableGoCardlessPayments,EngagementLevel,EzeepBlueFreePrinting,EzeepBluePrintingEnabled,EzeepBlueUserId,EzeepFreePrinting,EzeepPrintingEnabled,EzeepUserId,Facebook,Flickr,FridayAttendance,FullName,Gender,GeneralTermsAccepted,Github,GoCardlessContractNumber,Google,GuessedFirstName,GuessedFirstNameForInvoice,GuessedLastName,GuessedLastNameForInvoice,HasAcceptedStripeACHAgreement,HasDueInvoices,HasVerifiedStripeACHDeposits,Index,Instagram,InvoiceDueDateDay,InvoiceDueDatePeriod,InvoiceSegregateBookings,InvoiceSegregateCharges,InvoiceSegregateContracts,InvoiceSegregateProducts,InvoiceSegregateTickets,InvoiceSegregateTimePasses,InvoiceSegregationOverride,InvoicingBusinessId,InvoicingBusinessName,InvoicingOrder,IsAdmin,IsDefaultProfile,IsNew,IsTeamAdministrator,KeyFobNumber,LandLine,Latitude,Linkedin,LocalizationDetails,Longitude,MinutesSinceLastRenewal,MobilePhone,MondayAttendance,NewAvatarUrl,NewBannerImageUrl,NextAutoInvoice,NextTariffId,NextTariffName,NickName,Notes,NotifyOnDeliveriesEmail,NotifyOnDelivery,NotifyOnFailedPayment,NotifyOnNewInvoice,NotifyOnNewPayment,PaperCutFreePrinting,PaperCutPayAsYouPrint,PaperCutUserId,Password,Pinterest,Position,PostCode,ProfileIsPublic,ProfileSummary,ProfileTags,ProfileWebsite,PurchaseOrder,Quantity,RecurrentProductsNames,ReferenceNumber,RegistrationDate,RegularPaymentContractNumber,RegularPaymentProvider,RemovedBusinesses,RemovedTeams,RenewalDate,Salutation,SaturdayAttendance,Scenario,ShortDescription,ShowAlert,ShowPayingMemberInvoices,SignUpToNewsletter,SimpleTimeZoneId,Skype,StartDate,State,StripeACHBankToken,StripeACHCustomerToken,StripeBacsDDCustomerToken,StripeBacsDDEnabled,StripeBacsDDMandateId,StripeBacsDDPaymentMethodId,SundayAttendance,SyncToPaperCutDue,SyncToSquare,SystemId,Tag,TariffId,TariffInvoiceEvery,TariffInvoiceEveryWeeks,TariffName,TaxIDNumber,TaxRate,TaxRateType,TeamId,TeamIds,TeamName,TeamNames,Teams,Telegram,ThursdayAttendance,ToStringText,TotalActiveContracts,TotalDepositsActiveContracts,TotalDepositsNewContracts,TotalNewContracts,TotalNonRefundableDepositsActiveContracts,TotalNonRefundableDepositsNewContracts,TotalRecurrentProducts,TotalRefundableDepositsActiveContracts,TotalRefundableDepositsNewContracts,TourBusinessId,TourDate,TuesdayAttendance,Tumblr,Twitter,UniqueId,UnitPrice,UpdatedBy,UpdatedOn,UserActive,UserFullName,UserId,UserIsAdmin,UserLastAccess,UserReceiveCommunityDigest,UserReceiveEveryMessage,Variants,Vimeo,WednesdayAttendance
1423831744,,48009,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:18.7760862Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-002@seeddata.local,False,,False,False,,False,False,,,,5,Ashley Smith,2,False,,,,Ashley,Ashley,Smith,Smith,False,False,False,2,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:19.0110575Z,,1,,,,Ashley,5,long_term_active,Ashley Smith (1423831744),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049197],,5,Ashley Smith - test-002@seeddata.local,,,,,,,,,,,,5,,,d2301e63-028e-4084-8a69-11f4cf194eb9,,matheus+explore@nexudus.com,2026-08-27T08:29:18.7760862Z,,,,,,,,[],,5
1423831745,,74384,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:19.7887791Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-003@seeddata.local,False,,False,False,,False,False,,,,5,Diane Newman,3,False,,,,Diane,Diane,Newman,Newman,False,False,False,3,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:19.9606813Z,,1,,,,Diane,5,long_term_active,Diane Newman (1423831745),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049200],,5,Diane Newman - test-003@seeddata.local,,,,,,,,,,,,5,,,0b376799-90da-40ae-8fbd-65654c17accd,,matheus+explore@nexudus.com,2026-08-27T08:29:19.8044004Z,,,,,,,,[],,5
1423831746,,14170,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:20.680028Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-004@seeddata.local,False,,False,False,,False,False,,,,5,Sian Cox,4,False,,,,Sian,Sian,Cox,Cox,False,False,False,4,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:20.9456646Z,,1,,,,Sian,5,long_term_active,Sian Cox (1423831746),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049199],,5,Sian Cox - test-004@seeddata.local,,,,,,,,,,,,5,,,3aa5463c-9a44-41a5-800d-b02bfa04c4e2,,matheus+explore@nexudus.com,2026-08-27T08:29:20.69569Z,,,,,,,,[],,5
1423831548,,52331,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:21.8416092Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-005@seeddata.local,False,,False,False,,False,False,,,,5,Teresa Hopkins,3,False,,,,Teresa,Teresa,Hopkins,Hopkins,False,False,False,5,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:22.1697285Z,,1,,,,Teresa,5,long_term_active,Teresa Hopkins (1423831548),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049197],,5,Teresa Hopkins - test-005@seeddata.local,,,,,,,,,,,,5,,,d37fef65-299d-40fc-bae0-63b0f1884a80,,matheus+explore@nexudus.com,2026-08-27T08:29:21.8572481Z,,,,,,,,[],,5
1423831747,,11746,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:22.947068Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-006@seeddata.local,False,,False,False,,False,False,,,,5,Mary Higgins,5,False,,,,Mary,Mary,Higgins,Higgins,False,False,False,6,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:23.1501968Z,,1,,,,Mary,5,long_term_active,Mary Higgins (1423831747),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049199],,5,Mary Higgins - test-006@seeddata.local,,,,,,,,,,,,5,,,7d58d3b3-74c0-489d-89a4-701bfa11556b,,matheus+explore@nexudus.com,2026-08-27T08:29:22.947068Z,,,,,,,,[],,5
1423831549,,22891,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:23.8579616Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-007@seeddata.local,False,,False,False,,False,False,,,,5,Colin Lloyd,5,False,,,,Colin,Colin,Lloyd,Lloyd,False,False,False,7,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:24.1867847Z,,1,,,,Colin,5,long_term_active,Colin Lloyd (1423831549),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049200],,5,Colin Lloyd - test-007@seeddata.local,,,,,,,,,,,,5,,,4ee0328c-dcd5-411a-9f3b-a24bb018c4f9,,matheus+explore@nexudus.com,2026-08-27T08:29:23.8579616Z,,,,,,,,[],,5
1423831748,,18054,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:24.8552828Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-008@seeddata.local,False,,False,False,,False,False,,,,5,Leanne Foster,4,False,,,,Leanne,Leanne,Foster,Foster,False,False,False,8,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:25.0747Z,,1,,,,Leanne,5,long_term_active,Leanne Foster (1423831748),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049197],,5,Leanne Foster - test-008@seeddata.local,,,,,,,,,,,,5,,,b217655d-4a04-4e80-92be-9408870b10f0,,matheus+explore@nexudus.com,2026-08-27T08:29:24.8709111Z,,,,,,,,[],,5
1423831750,,13508,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:25.7778388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-010@seeddata.local,False,,False,False,,False,False,,,,5,Victor Harrison,2,False,,,,Victor,Victor,Harrison,Harrison,False,False,False,10,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:26.044146Z,,1,,,,Victor,5,long_term_active,Victor Harrison (1423831750),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049197],,5,Victor Harrison - test-010@seeddata.local,,,,,,,,,,,,5,,,eebee80a-49d0-4eff-bd16-68098c2454b1,,matheus+explore@nexudus.com,2026-08-27T08:29:25.7778388Z,,,,,,,,[],,5
1423831751,,10766,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:26.6379158Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-011@seeddata.local,False,,False,False,,False,False,,,,5,Samantha Quinn,4,False,,,,Samantha,Samantha,Quinn,Quinn,False,False,False,11,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:26.872259Z,,1,,,,Samantha,5,long_term_active,Samantha Quinn (1423831751),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049299],,5,Samantha Quinn - test-011@seeddata.local,,,,,,,,,,,,5,,,0696d801-9f26-489b-9239-22214afd6a12,,matheus+explore@nexudus.com,2026-08-27T08:29:26.6691616Z,,,,,,,,[],,5
1423831550,,96223,True,,,,,,True,False,,,,,,,,,,,,,,,,,,,,[1421021016],True,False,True,True,True,,,0,,,False,False,,1220,,,1,False,False,2026-08-27T08:29:27.533341Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],False,test-013@seeddata.local,False,,False,False,,False,False,,,,5,Sarah Reed,3,False,,,,Sarah,Sarah,Reed,Reed,False,False,False,13,,,,False,False,False,False,False,False,False,1421021016,Explore 2.0,0,False,False,False,False,,,,,,,0,,5,,,,0,,,,,False,True,True,True,False,False,,,,,,False,,,,,,,,2026-08-27T08:29:27.7207979Z,,1,,,,Sarah,5,long_term_active,Sarah Reed (1423831550),False,False,True,2023,,,,,,,False,,,5,False,False,,,0,0,0,,,,1,,,,,[1416049299],,5,Sarah Reed - test-013@seeddata.local,,,,,,,,,,,,5,,,ea124c52-37c9-4992-a587-f22b86ddb879,,matheus+explore@nexudus.com,2026-08-27T08:29:27.533341Z,,,,,,,,[],,5
