Id,AddedDesks,AddedVariants,BillingDay,CancellationDate,CancellationLimitDays,ClearDocumentToSendBinaryDocumentFile,ClearDocumentToSignBinaryDocumentFile,ClearProposalFileFile,ContractTerm,CoworkerBillingName,CoworkerCompanyName,CoworkerCoworkerType,CoworkerFullName,CoworkerId,CreatedOn,CustomFields,CustomerLastOpenedDate,DeskAreas,DeskCapacity,DeskPrice,DeskSize,Desks,DiscountCodeId,DiscountedTotalPrice,DoNotIssueInvoice,DocumentToSendBinaryDocumentFileName,DocumentToSendHtml,DocumentToSendId,DocumentToSignBinaryDocumentFileName,DocumentToSignHtml,DocumentToSignId,ExpirationDate,IsNew,IssuedByAddress,IssuedByCurrencyCode,IssuedById,IssuedByName,LocalizationDetails,NewDocumentToSendBinaryDocumentUrl,NewDocumentToSignBinaryDocumentUrl,NewProposalFileUrl,Notes,Price,ProposalFileFileName,ProposalIndex,ProposalStatus,Quantity,RecurringTotal,Reference,RemovedDesks,RemovedVariants,ResponsibleFullName,ResponsibleId,Schedules,SentOn,SignupTotal,StartDate,SystemId,TargetStatus,TariffBusinessCurrencyCode,TariffId,TariffInvoiceEvery,TariffInvoiceEveryWeeks,TariffName,TariffPrice,ToStringText,Total,TotalPrice,TotalProducts,TotalSigupProducts,UniqueId,UpdatedBy,UpdatedOn,Variants
1415320991,,,27,,,False,False,False,,,,Individual,Jeremy Mellor,1423749942,2026-08-24T17:30:50.9507091Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,377.64,,1,1,1,377.64,PROP-001,,,Lorand Norbert,1418369047,[],,377.64,2026-09-16T00:00:00Z,,1,EUR,1415415013,3,0,Hot Desk Quarterly,400.0,PROP-001,377.64,,0.0,,ccb36a59-a633-4431-8b4f-d8dfb665a639,Olena+e2@nexudus.com,2026-08-24T17:30:50.9507091Z,[]
1415320894,,,4,,,False,False,False,,,,Individual,Robin Andrews,1423747913,2026-08-24T17:30:51.6630112Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,225.32,,2,1,1,225.32,PROP-002,,,Lorand Norbert,1418369047,[],,225.32,2026-10-15T00:00:00Z,,1,EUR,1415415115,0,2,Flex Fortnightly,250.0,PROP-002,225.32,,0.0,,a68ba7fe-65c2-4787-a6f5-75ff426098dd,Olena+e2@nexudus.com,2026-08-24T17:30:51.6630112Z,[]
1415320895,,,7,,,False,False,False,,,,Individual,Gerald Richardson,1423749949,2026-08-24T17:30:52.3667874Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,397.8,,3,1,1,397.8,PROP-003,,,Lorand Norbert,1418369047,[],,397.8,2026-09-20T00:00:00Z,,1,EUR,1415415013,3,0,Hot Desk Quarterly,400.0,PROP-003,397.8,,0.0,,8515ee9c-4b31-4156-b8f4-505c483d80b4,Olena+e2@nexudus.com,2026-08-24T17:30:52.3667874Z,[]
1415320896,,,15,,,False,False,False,,,,Individual,Bethany Johnston,1423750050,2026-08-24T17:30:53.1018668Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,347.2,,4,1,1,347.2,PROP-004,,,Lorand Norbert,1418369047,[],,347.2,2026-10-10T00:00:00Z,,2,EUR,1415415111,1,0,Dedicated Desk Monthly,350.0,PROP-004,347.2,,0.0,,61760cb5-af9f-426f-9928-d67168a9002d,Olena+e2@nexudus.com,2026-08-24T17:30:53.1018668Z,[]
1415320897,,,14,,,False,False,False,,,,Individual,Jonathan Middleton,1423750046,2026-08-24T17:30:54.7587963Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,49.85,,5,1,1,49.85,PROP-005,,,Lorand Norbert,1418369047,[],,49.85,2026-10-13T00:00:00Z,,2,EUR,1415415114,0,1,Flex Weekly,50.0,PROP-005,49.85,,0.0,,a7f822ad-954b-45e3-a899-875521f40a7f,Olena+e2@nexudus.com,2026-08-24T17:30:54.7587963Z,[]
1415320992,,,16,,,False,False,False,,,,Individual,Gemma Ferguson,1423750038,2026-08-24T17:30:56.3290936Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,140.17,,6,1,1,140.17,PROP-006,,,Lorand Norbert,1418369047,[],,140.17,2026-10-10T00:00:00Z,,2,EUR,1415415011,1,0,Hot Desk Monthly,150.0,PROP-006,140.17,,0.0,,f5ba3dfd-ee53-455e-b072-ada3d9cf1239,Olena+e2@nexudus.com,2026-08-24T17:30:56.3290936Z,[]
1415320898,,,26,,,False,False,False,,,,Individual,Ryan Nelson,1423749951,2026-08-24T17:30:58.0107703Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,45.33,,7,1,1,45.33,PROP-007,,,Lorand Norbert,1418369047,[],,45.33,2026-08-30T00:00:00Z,,2,EUR,1415415114,0,1,Flex Weekly,50.0,PROP-007,45.33,,0.0,,b18d0ee4-8148-410f-82db-641f74c1cc82,Olena+e2@nexudus.com,2026-08-24T17:30:58.0107703Z,[]
1415320899,,,23,,,False,False,False,,,,Individual,Ryan Nelson,1423749951,2026-08-24T17:30:59.652691Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,1146.45,,8,1,1,1146.45,PROP-008,,,Lorand Norbert,1418369047,[],,1146.45,2026-10-20T00:00:00Z,,3,EUR,1415415112,1,0,Private Office Small,1200.0,PROP-008,1146.45,,0.0,,870ed0a5-bafa-45af-93ea-2a513806157c,Olena+e2@nexudus.com,2026-08-24T17:30:59.652691Z,[]
1415320993,,,22,,,False,False,False,,,,Individual,Tracy Harrison,1423749937,2026-08-24T17:31:03.9847343Z,,,,0.0,0.0,0.0,[],1415188972,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,238.69,,9,1,1,238.69,PROP-009,,,Lorand Norbert,1418369047,[],,238.69,2026-09-24T00:00:00Z,,3,EUR,1415415115,0,2,Flex Fortnightly,250.0,PROP-009,238.69,,0.0,,bcc97875-917e-4d47-a9e2-90a6e6b53c01,Olena+e2@nexudus.com,2026-08-24T17:31:03.9847343Z,[]
1415320994,,,3,,,False,False,False,,,,Individual,Sian Cox,1423747908,2026-08-24T17:31:06.9704465Z,,,,0.0,0.0,0.0,[],,,False,,,,,,,,False,,EUR,1421022733,MAIN_E2 (PARENT Location),,,,,,137.34,,10,1,1,137.34,PROP-010,,,Lorand Norbert,1418369047,[],,137.34,2026-09-13T00:00:00Z,,3,EUR,1415415011,1,0,Hot Desk Monthly,150.0,PROP-010,137.34,,0.0,,f849c8f2-f053-4d43-9998-c1cd9389c44c,Olena+e2@nexudus.com,2026-08-24T17:31:06.9704465Z,[]
