Id,AutomaticallyAdded,BookingFromTime,BookingId,BookingResourceName,BookingToTime,BookingUniqueId,BusinessId,ChargePeriod,CoworkerContractUniqueId,CoworkerDiscountUniqueId,CoworkerId,CoworkerProductUniqueId,CreatedOn,CustomFields,Description,DiscountAmount,DiscountCode,DueDate,DynamicPriceAdjustment,ExpireDate,ExtraServiceCurrencyCode,ExtraServiceId,ExtraServiceIndex,ExtraServiceIsPrintingCredit,ExtraServiceName,Free,InvoiceDate,InvoiceThisCoworker,Invoiced,IsFromTariff,IsNew,Kind,LastMinutePriceAdjustment,LocalizationDetails,Notes,Price,PriceFactorDemand,PriceFactorLastMinute,PurchaseOrder,RemainingUses,SystemId,TariffTimePassUniqueId,ToStringText,TotalUses,UniqueId,UpdatedBy,UpdatedOn,ValidFrom
1470810942,False,,,,,,1421021016,1,,,1423831768,,2026-08-27T08:38:00.2958536Z,,,,,,,2026-12-25T00:00:00Z,GBP,1415386334,48,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,900,,,#1470810942,900,2a13fb81-8f02-48ff-aefb-86ad725318c9,matheus+explore@nexudus.com,2026-08-27T08:38:00.2958536Z,
1470810943,False,,,,,,1421021016,1,,,1423831767,,2026-08-27T08:38:00.749665Z,,,,,,,2026-09-26T00:00:00Z,GBP,1415386334,49,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,900,,,#1470810943,900,3a828dd9-f144-4667-aa43-90bc2de8fe1f,matheus+explore@nexudus.com,2026-08-27T08:38:00.749665Z,
1470811029,False,,,,,,1421021016,1,,,1423831564,,2026-08-27T08:38:01.1866171Z,,,,,,,2026-12-23T00:00:00Z,GBP,1415386334,50,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,600,,,#1470811029,600,275062e0-e560-484c-a327-016134cc5632,matheus+explore@nexudus.com,2026-08-27T08:38:01.1866171Z,
1470811030,False,,,,,,1421021016,1,,,1423831548,,2026-08-27T08:38:01.7307434Z,,,,,,,2026-10-16T00:00:00Z,GBP,1415386334,51,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,900,,,#1470811030,900,d60dba5b-99af-4d40-8d55-b5cf98fb38e7,matheus+explore@nexudus.com,2026-08-27T08:38:01.7307434Z,
1470811031,False,,,,,,1421021016,1,,,1423831759,,2026-08-27T08:38:02.1825427Z,,,,,,,2026-10-20T00:00:00Z,GBP,1415386334,52,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,900,,,#1470811031,900,ea8d325d-2c99-457b-905b-b8e2065f31c2,matheus+explore@nexudus.com,2026-08-27T08:38:02.1825427Z,
1470811032,False,,,,,,1421021016,1,,,1423831764,,2026-08-27T08:38:02.6864119Z,,,,,,,2027-01-19T00:00:00Z,GBP,1415386334,53,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,600,,,#1470811032,600,832dab38-a4ee-4b20-ac73-91fd77f6cda5,matheus+explore@nexudus.com,2026-08-27T08:38:02.6864119Z,
1470810944,False,,,,,,1421021016,1,,,1423831745,,2026-08-27T08:38:03.2174025Z,,,,,,,2026-12-04T00:00:00Z,GBP,1415386334,54,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,600,,,#1470810944,600,d2f2dc52-a66d-4f8e-a5fb-010bfafa5684,matheus+explore@nexudus.com,2026-08-27T08:38:03.2174025Z,
1470810945,False,,,,,,1421021016,1,,,1423831563,,2026-08-27T08:38:03.6861472Z,,,,,,,2027-01-04T00:00:00Z,GBP,1415386334,55,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,900,,,#1470810945,900,c5288418-9e00-4694-855a-0b508ed471a8,matheus+explore@nexudus.com,2026-08-27T08:38:03.6861472Z,
1470811033,False,,,,,,1421021016,1,,,1423831555,,2026-08-27T08:38:04.208246Z,,,,,,,2026-12-28T00:00:00Z,GBP,1415386334,56,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,900,,,#1470811033,900,b6962917-1e78-4bb8-85ac-ef1958380e82,matheus+explore@nexudus.com,2026-08-27T08:38:04.208246Z,
1470811034,False,,,,,,1421021016,1,,,1423831747,,2026-08-27T08:38:04.5886893Z,,,,,,,2026-10-25T00:00:00Z,GBP,1415386334,57,False,Time Credit,False,,True,False,False,False,time_credit,,,,0.0,,,,300,,,#1470811034,300,73bf7664-95af-40b4-b9a1-f9bd0eeef5e0,matheus+explore@nexudus.com,2026-08-27T08:38:04.5886893Z,
