Id,AttendeeCode,AttendeeIndex,BusinessId,CalendarEventId,CalendarEventName,CancellationReason,CancellationReasonDetails,Cancelled,CancelledBy,CancelledOn,CheckedIn,CheckedInDate,CoworkerFullName,CoworkerId,CoworkerInvoiceId,CoworkerInvoiceNumber,CoworkerInvoicePaid,CreatedOn,CustomFields,DueDate,Email,EventProductCurrencyCode,EventProductId,EventProductName,EventProductPrice,FullName,Invoiced,IsNew,LocalizationDetails,PurchaseOrder,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
1417394147,86235,1,1421022733,1415783465,Freelancer Meetup,,,False,,,False,,Josephine Hammond,1423749946,,,False,2026-08-24T16:47:37.3354175Z,,,test-035@seeddata.local,EUR,1415710398,General Admission,10.0,Josephine Hammond,False,False,,,,Josephine Hammond,6a13e1eb-b778-45c3-ad6d-0e476b64b09b,Olena+e2@nexudus.com,2026-08-24T16:47:37.507305Z
1417393733,,2,1421022733,1415783461,Wellness Wednesday: Meditation,,,False,,,True,,Leigh Butler,1423750036,,,False,2026-08-24T16:47:38.2342135Z,,,test-019@seeddata.local,EUR,1415710604,General Admission,0.0,Leigh Butler,False,False,,,,Leigh Butler,d6746ce6-667d-41ea-9b74-438a6df64aa6,Olena+e2@nexudus.com,2026-08-24T16:47:38.3904601Z
1417393734,,3,1421022733,1415783044,Summer BBQ,,,False,,,True,,Jessica White,1423750044,,,False,2026-08-24T16:47:39.0936039Z,,,test-030@seeddata.local,EUR,1415710393,General Admission,0.0,Jessica White,False,False,,,,Jessica White,ffed6fc4-c876-4897-968e-17ce82665ac0,Olena+e2@nexudus.com,2026-08-24T16:47:39.260003Z
1417394148,79726,4,1421022733,1415783052,New Member Orientation,,,False,,,False,,Billy Norton,1423750039,,,False,2026-08-24T16:47:39.9617535Z,,,test-023@seeddata.local,EUR,1415710597,General Admission,10.0,Billy Norton,False,False,,,,Billy Norton,2354ac61-0b07-43e9-af6f-dd79efb5d253,Olena+e2@nexudus.com,2026-08-24T16:47:40.0242551Z
1417393735,,5,1421022733,1415783046,Workshop: Marketing 101,,,False,,,True,,Gerald Richardson,1423749949,,,False,2026-08-24T16:47:40.7389101Z,,,test-040@seeddata.local,EUR,1415710596,General Admission,0.0,Gerald Richardson,False,False,,,,Gerald Richardson,671f8456-9a00-478a-a184-75e1206baf7e,Olena+e2@nexudus.com,2026-08-24T16:47:40.8639383Z
1417393736,74966,6,1421022733,1415783469,New Year Kickoff Breakfast,,,False,,,False,,Leslie Warner,1423750035,,,False,2026-08-24T16:47:41.6483103Z,,,test-017@seeddata.local,EUR,1415710400,General Admission,15.0,Leslie Warner,False,False,,,,Leslie Warner,7bcf9e7c-1023-47d5-b95a-df7233e66302,Olena+e2@nexudus.com,2026-08-24T16:47:41.6953008Z
1417394149,72975,7,1421022733,1415783462,Product Demo Night,,,False,,,False,,Mary Higgins,1423747909,,,False,2026-08-24T16:47:42.4481226Z,,,test-006@seeddata.local,EUR,1415710397,General Admission,15.0,Mary Higgins,False,False,,,,Mary Higgins,aac72ac1-e6ce-4997-9ba0-280628669bf7,Olena+e2@nexudus.com,2026-08-24T16:47:42.5106373Z
1417394150,99397,8,1421022733,1415783468,Year-End Wrap Party,,,False,,,False,,Francesca White,1423747912,,,False,2026-08-24T16:47:43.2144308Z,,,test-012@seeddata.local,EUR,1415710608,General Admission,0.0,Francesca White,False,False,,,,Francesca White,6ddffeb3-83cb-477d-85ab-4281ea6b1b33,Olena+e2@nexudus.com,2026-08-24T16:47:43.4488296Z
1417394151,42243,9,1421022733,1415783468,Year-End Wrap Party,,,False,,,False,,Glen Hawkins,1423750051,,,False,2026-08-24T16:47:44.1682943Z,,,test-045@seeddata.local,EUR,1415710608,General Admission,0.0,Glen Hawkins,False,False,,,,Glen Hawkins,8670dfe7-a7b4-4463-9848-d56c52cd08e7,Olena+e2@nexudus.com,2026-08-24T16:47:44.3870197Z
1417393737,,10,1421022733,1415783046,Workshop: Marketing 101,,,False,,,True,,Lesley Humphries,1423749947,,,False,2026-08-24T16:47:45.1192004Z,,,test-037@seeddata.local,EUR,1415710596,General Admission,0.0,Lesley Humphries,False,False,,,,Lesley Humphries,071f6054-0e61-4f92-bc22-c9dc1cb1ea92,Olena+e2@nexudus.com,2026-08-24T16:47:45.2754518Z
1417393738,,11,1421022733,1415783468,Year-End Wrap Party,,,False,,,True,,Heather Ryan,1423749934,,,False,2026-08-24T16:47:46.0261315Z,,,test-009@seeddata.local,EUR,1415710608,General Admission,0.0,Heather Ryan,False,False,,,,Heather Ryan,87ec3e9e-5b16-49bb-9087-da0686e29103,Olena+e2@nexudus.com,2026-08-24T16:47:46.1823855Z
1417394152,53999,12,1421022733,1415783458,Demo Day,,,False,,,False,,Diane Newman,1423747608,,,False,2026-08-24T16:47:46.8727178Z,,,test-003@seeddata.local,EUR,1415710603,General Admission,0.0,Diane Newman,False,False,,,,Diane Newman,758f68c0-af44-44cf-8be2-c236ee94a0ea,Olena+e2@nexudus.com,2026-08-24T16:47:47.0289674Z
1417394153,,13,1421022733,1415783044,Summer BBQ,,,False,,,True,,Sarah Reed,1423749936,,,False,2026-08-24T16:47:47.748385Z,,,test-013@seeddata.local,EUR,1415710393,General Admission,0.0,Sarah Reed,False,False,,,,Sarah Reed,3333ccdb-3724-429e-a621-92efb0aaf8bf,Olena+e2@nexudus.com,2026-08-24T16:47:47.9827513Z
1417393739,76548,14,1421022733,1415783459,Holiday Party,,,False,,,False,,Janice Glover,1423749939,,,False,2026-08-24T16:47:48.7183879Z,,,test-018@seeddata.local,EUR,1415710395,General Admission,0.0,Janice Glover,False,False,,,,Janice Glover,636f8937-28f4-4b72-8aea-8c70e160b141,Olena+e2@nexudus.com,2026-08-24T16:47:48.8882228Z
1417394154,82844,15,1421022733,1415783469,New Year Kickoff Breakfast,,,False,,,False,,Gemma Elliott,1423749940,,,False,2026-08-24T16:47:49.6267631Z,,,test-020@seeddata.local,EUR,1415710400,General Admission,15.0,Gemma Elliott,False,False,,,,Gemma Elliott,29fb1491-71fa-470e-96f0-e1df1eadbae3,Olena+e2@nexudus.com,2026-08-24T16:47:49.6892759Z
1417393740,,16,1421022733,1415783468,Year-End Wrap Party,,,False,,,True,,Diane Newman,1423747608,,,False,2026-08-24T16:47:50.4038551Z,,,test-003@seeddata.local,EUR,1415710608,General Admission,0.0,Diane Newman,False,False,,,,Diane Newman,5cc60a62-c94c-4300-b017-93cd279cc5b9,Olena+e2@nexudus.com,2026-08-24T16:47:50.5763904Z
1417394155,,17,1421022733,1415783044,Summer BBQ,,,False,,,True,,Jay Rees,1423750040,,,False,2026-08-24T16:47:51.4242577Z,,,test-026@seeddata.local,EUR,1415710393,General Admission,0.0,Jay Rees,False,False,,,,Jay Rees,31ccfbf1-6a2f-4a85-a2cc-297288288f97,Olena+e2@nexudus.com,2026-08-24T16:47:51.6273775Z
